dataset,variant,seed,result_path,report_json_present,DONE_present,failure_block_absent,gpu_name,amp_dtype,inference_mode,metric,test_metric,failure
sberbank-housing,baseline_plr,0,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/baseline_plr-evaluation/0,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.546495072614636,
sberbank-housing,baseline_plr,1,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/baseline_plr-evaluation/1,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.510137982108967,
sberbank-housing,baseline_plr,2,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/baseline_plr-evaluation/2,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.460434895463788,
sberbank-housing,rla_only,0,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/rla_only-evaluation/0,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.49868567875769,
sberbank-housing,rla_only,1,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/rla_only-evaluation/1,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.506723180155442,
sberbank-housing,rla_only,2,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/rla_only-evaluation/2,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.506943969685626,
sberbank-housing,esam_only,0,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/esam_only-evaluation/0,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.547765632938749,
sberbank-housing,esam_only,1,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/esam_only-evaluation/1,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.510244699059466,
sberbank-housing,esam_only,2,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/esam_only-evaluation/2,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.461513970249932,
sberbank-housing,mfb_only,0,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/mfb_only-evaluation/0,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.527389417691648,
sberbank-housing,mfb_only,1,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/mfb_only-evaluation/1,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.535810359671178,
sberbank-housing,mfb_only,2,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/mfb_only-evaluation/2,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.513798272472021,
sberbank-housing,cf_fisd_only,0,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/cf_fisd_only-evaluation/0,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.541630897512452,
sberbank-housing,cf_fisd_only,1,/workspace/DL_PROJECT/tabm_integrated/paper/exp/integrated/sberbank-housing/cf_fisd_only-evaluation/1,True,True,True,NVIDIA GeForce RTX 4090,bfloat16,mean,rmse,11.531481567373374,
